time,base_mean_relative_l2,base_q10,base_q90,lora_mean_relative_l2,lora_q10,lora_q90
0.000000000000000000e+00,6.175968053498450544e-02,5.894453909796146251e-02,6.453195618981513726e-02,4.720907766772121372e-03,4.140474168335715917e-03,5.148088412821470033e-03
9.784735812133071864e-02,5.590711167021829298e-02,5.289004701789680463e-02,5.945239945447678559e-02,4.144046719206563416e-03,3.555328658050732789e-03,4.554053561126618008e-03
1.956947162426614373e-01,5.294018245612597262e-02,5.004744796577836885e-02,5.676876473245077992e-02,4.101785263043117823e-03,3.563910724849254398e-03,4.485456979791909576e-03
2.935420743639921559e-01,5.047122617056143401e-02,4.777984215754742942e-02,5.443566572192420905e-02,4.120512176442488878e-03,3.619627135941674845e-03,4.491517998425039251e-03
3.913894324853228746e-01,4.838397889076363756e-02,4.561886369232057148e-02,5.240579048264651374e-02,4.169637646838315025e-03,3.691995334667341148e-03,4.540048854765716194e-03
4.892367906066535932e-01,4.663404303205286733e-02,4.344519318027321997e-02,5.067287421068698838e-02,4.239424812332382234e-03,3.762359094993923594e-03,4.618488905841871585e-03
5.870841487279843118e-01,4.518742615267250934e-02,4.162082908683044369e-02,4.922083735838214680e-02,4.325325269010546134e-03,3.834271847081032261e-03,4.720402812722874521e-03
6.849315068493150305e-01,4.401556726290566102e-02,4.012272425725998959e-02,4.803090347089782747e-02,4.424774477538140349e-03,3.919156863744521248e-03,4.841969397985372743e-03
7.827788649706457491e-01,4.309379228364389885e-02,3.907563484077015981e-02,4.708496680456186051e-02,4.536130359785423005e-03,4.014839401133623795e-03,4.980617805555493521e-03
8.806262230919764677e-01,4.240019722333365076e-02,3.829007293888257724e-02,4.636612297875603028e-02,4.658217078656746134e-03,4.075380411229932026e-03,5.134415460979898163e-03
9.784735812133071864e-01,4.191495084912865571e-02,3.770306396004614868e-02,4.585844652298676910e-02,4.790101476700283148e-03,4.131875864640738479e-03,5.324319481935761364e-03
1.076320939334638016e+00,4.161993476769253186e-02,3.729990307520397036e-02,4.548594190905609624e-02,4.930977984376787998e-03,4.197625812306021893e-03,5.542968711275911980e-03
1.174168297455968624e+00,4.149858143181617276e-02,3.706682121864871698e-02,4.552048624063255444e-02,5.080108642929179359e-03,4.271791537623318737e-03,5.772444805219685907e-03
1.272015655577299231e+00,4.153579152218021125e-02,3.699032332955513869e-02,4.563125915244949787e-02,5.236791041987937621e-03,4.353603478010220976e-03,6.011626460846481584e-03
1.369863013698630061e+00,4.171785437508930550e-02,3.711428334048907929e-02,4.617061693546389151e-02,5.400339665764286243e-03,4.442354830407462332e-03,6.259310550466404797e-03
1.467710371819960891e+00,4.203233613467546870e-02,3.751168439827626266e-02,4.667157405708418499e-02,5.570073695822260092e-03,4.537401620094359475e-03,6.514198853059807379e-03
1.565557729941291498e+00,4.246793276801116152e-02,3.805584293821690639e-02,4.726624939555284372e-02,5.745309036176056601e-03,4.638165778443953044e-03,6.774901869842409746e-03
1.663405088062622106e+00,4.301430631121040682e-02,3.872885965550373899e-02,4.794377163391370239e-02,5.925354929900520165e-03,4.744138655810014975e-03,7.039962531205382068e-03
1.761252446183952935e+00,4.366193201039470645e-02,3.951424854493235106e-02,4.869507892694881906e-02,6.109516445891233390e-03,4.874657644403268715e-03,7.307903644742657842e-03
1.859099804305283765e+00,4.440198223902176722e-02,4.039689387479326182e-02,4.951271544826154475e-02,6.297103773522064185e-03,5.018697545140673837e-03,7.577301592898170492e-03
1.956947162426614373e+00,4.522626250403376236e-02,4.136286602895113823e-02,5.040965422692019610e-02,6.487448151235655769e-03,5.166002532890427365e-03,7.846884789370282831e-03
2.054794520547944980e+00,4.612719904280895150e-02,4.239913432709327412e-02,5.149550379729826016e-02,6.679922827799689503e-03,5.315950236652975704e-03,8.115648994647797765e-03
2.152641878669276032e+00,4.709786099671451481e-02,4.349322094940147321e-02,5.265694054342793390e-02,6.873966109129226940e-03,5.467841574051278061e-03,8.382973949742520900e-03
2.250489236790606640e+00,4.813198794559743476e-02,4.463284303589512558e-02,5.388879274830871841e-02,7.069102624247855515e-03,5.620943383100633454e-03,8.648719184717327396e-03
2.348336594911937247e+00,4.922399019678113524e-02,4.543864853027870798e-02,5.518685755857448416e-02,7.264958747778165957e-03,5.774528860693938122e-03,8.913274293212368124e-03
2.446183953033267855e+00,5.036889706263071587e-02,4.620924869305826493e-02,5.654771346194907566e-02,7.461268841145882180e-03,5.927911786969604184e-03,9.177543094076893657e-03
2.544031311154598463e+00,5.156224619611905757e-02,4.693960673674122536e-02,5.796848947609094249e-02,7.657870609616085691e-03,6.080472407734667170e-03,9.442852727309485050e-03
2.641878669275929514e+00,5.279992942624598534e-02,4.771373434766840865e-02,5.944661620109818051e-02,7.854690097097468196e-03,6.231674460760895130e-03,9.710795605668723005e-03
2.739726027397260122e+00,5.407802920283949488e-02,4.852718298810028419e-02,6.097959553108742159e-02,8.051719043705361095e-03,6.381073994870057990e-03,9.983029091062701685e-03
2.837573385518590730e+00,5.539268708391977686e-02,4.937641700012321971e-02,6.256482741326337138e-02,8.248988808466898096e-03,6.528321317128074792e-03,1.026106858580455583e-02
2.935420743639921781e+00,5.674003837670219680e-02,5.025877086530672333e-02,6.419952135448897534e-02,8.446545329206417083e-03,6.673157682708531074e-03,1.054611016071159771e-02
3.033268101761252389e+00,5.811622785087988685e-02,5.117236272609645975e-02,6.588070066339297981e-02,8.644428639801209416e-03,6.815408326862166903e-03,1.083890885971015676e-02
3.131115459882582996e+00,5.951749771709934078e-02,5.211597285642270705e-02,6.760528584332378688e-02,8.842658753715721548e-03,6.954973245139966197e-03,1.105842399222785669e-02
3.228962818003913604e+00,6.094031895988875902e-02,5.308889660842704139e-02,6.937022744519105721e-02,9.041227943052690397e-03,7.091816853063435781e-03,1.124790543562351197e-02
3.326810176125244212e+00,6.238152615583685001e-02,5.409078156826271216e-02,7.117265217483131901e-02,9.240098175521668789e-03,7.225957368048996528e-03,1.143680666470514237e-02
3.424657534246575263e+00,6.383841572970007372e-02,5.512145846081802775e-02,7.300998900520343227e-02,9.439201967237974972e-03,7.357456495441755395e-03,1.162546970388360530e-02
3.522504892367905871e+00,6.530877684348222745e-02,5.618077485495865525e-02,7.488005138103155656e-02,9.638445076315787716e-03,7.486409786196740815e-03,1.181404879984376821e-02
3.620352250489236479e+00,6.679084001607535348e-02,5.726843992744305722e-02,7.678106343322703420e-02,9.837710015593744556e-03,7.612937870552831388e-03,1.200250286590782284e-02
3.718199608610567530e+00,6.828314793322423637e-02,5.838388738765946245e-02,7.871162936443809599e-02,1.003685999450941273e-02,7.771508030076709241e-03,1.219060389041219834e-02
