time,base_mean_relative_l2,base_q10,base_q90,lora_mean_relative_l2,lora_q10,lora_q90
0.000000000000000000e+00,2.766309734355506394e-02,2.578226802479337623e-02,3.008046270338223319e-02,6.758006419705536380e-03,5.746439757319840407e-03,7.719078376454509803e-03
9.784735812133071864e-02,2.426054334295476428e-02,2.253454665522853367e-02,2.625404687985891800e-02,6.142655657189914804e-03,5.091213330856474845e-03,7.273734581999741385e-03
1.956947162426614373e-01,2.325946320144061871e-02,2.152680038191905065e-02,2.491591230232824070e-02,6.059590493435933721e-03,4.994033171437999366e-03,7.214830306663169886e-03
2.935420743639921559e-01,2.258811227066106000e-02,2.090399061582999887e-02,2.418015348783744689e-02,6.059661855324137945e-03,4.984614980535224255e-03,7.228310970692741408e-03
3.913894324853228746e-01,2.209966043770184713e-02,2.051209757668411016e-02,2.379057438173253977e-02,6.111570804487240043e-03,5.025047848445499121e-03,7.288502208402151093e-03
4.892367906066535932e-01,2.174902668807846690e-02,2.029952857687801482e-02,2.353268582587072708e-02,6.205588106142361123e-03,5.103876628711770391e-03,7.387471475192064138e-03
5.870841487279843118e-01,2.151418789316095204e-02,2.021620825956689169e-02,2.339207290162787292e-02,6.335936942227539392e-03,5.214798763468836418e-03,7.520088225878453388e-03
6.849315068493150305e-01,2.138174174483905426e-02,2.014850458093103008e-02,2.307249003584469285e-02,6.497753126339038399e-03,5.352811515132894528e-03,7.682010808937599598e-03
7.827788649706457491e-01,2.134238099235732239e-02,2.018075489826589436e-02,2.286033034054896565e-02,6.686531802479506355e-03,5.513474348013931887e-03,7.869296276242632518e-03
8.806262230919764677e-01,2.138893073448453960e-02,2.036218629069753289e-02,2.323121806227726113e-02,6.898107587363834330e-03,5.684979483074824660e-03,8.135595064536168750e-03
9.784735812133071864e-01,2.151539103263205160e-02,2.045006568712587694e-02,2.366758140633326915e-02,7.128726239249027000e-03,5.814394240340005349e-03,8.544228235477329542e-03
1.076320939334638016e+00,2.171645815146210426e-02,2.066756624190951852e-02,2.416081500138899524e-02,7.375100455495720020e-03,5.966830846989562044e-03,8.972585675999806415e-03
1.174168297455968624e+00,2.198728313918116295e-02,2.058418228644782674e-02,2.470420211052590936e-02,7.634432264611799510e-03,6.199707856881506336e-03,9.413187399481784401e-03
1.272015655577299231e+00,2.232334422942910609e-02,2.032440980321051360e-02,2.529266407400570377e-02,7.904407723911368797e-03,6.445567621188926823e-03,9.859985403468302101e-03
1.369863013698630061e+00,2.272036985672016771e-02,2.013055926517795177e-02,2.592249251240484609e-02,8.183172892477627233e-03,6.702277664575944163e-03,1.030598236132419451e-02
1.467710371819960891e+00,2.317428214755263768e-02,2.025696969303347056e-02,2.659106954835782979e-02,8.469298000723705921e-03,6.967993626742657355e-03,1.071535263744913605e-02
1.565557729941291498e+00,2.368114878395609357e-02,2.052178294824130028e-02,2.729659523452799413e-02,8.761734031896100533e-03,7.203760577970545580e-03,1.113732567682097774e-02
1.663405088062622106e+00,2.423714047213604977e-02,2.085784258433284397e-02,2.803784266672806544e-02,9.059763836916144217e-03,7.443023619888746237e-03,1.157134669592887327e-02
1.761252446183952935e+00,2.483849548907132027e-02,2.125630894466871285e-02,2.881395538328185291e-02,9.362948666868176409e-03,7.686926953255867646e-03,1.201721589860766173e-02
1.859099804305283765e+00,2.548149406039400613e-02,2.170837072784960811e-02,2.962429310880588043e-02,9.671070630301471099e-03,7.935233037508917717e-03,1.247142510848427491e-02
1.956947162426614373e+00,2.616244498368084509e-02,2.220557096518314608e-02,3.046832401988372116e-02,9.984072005714864431e-03,8.187721318775736945e-03,1.287845133623993256e-02
2.054794520547944980e+00,2.687768580167584215e-02,2.274005882071610321e-02,3.134555636185048372e-02,1.030199340637228886e-02,8.444155723891441645e-03,1.327596550757534875e-02
2.152641878669276032e+00,2.762359642731681414e-02,2.330477401329964990e-02,3.225549988496352605e-02,1.062491417359093596e-02,8.704266182164244192e-03,1.366428904832364677e-02
2.250489236790606640e+00,2.839662464910358564e-02,2.389357132366768874e-02,3.319764763666657736e-02,1.095289954290615264e-02,8.967741974219147622e-03,1.404400866531224125e-02
2.348336594911937247e+00,2.919332054228408052e-02,2.450129124781766712e-02,3.417147014997123228e-02,1.128595948441182654e-02,9.234233994962356973e-03,1.441592728678007217e-02
2.446183953033267855e+00,3.001037568692704188e-02,2.512378106327855729e-02,3.517641608061347624e-02,1.162402322859581311e-02,9.503362870202822568e-03,1.478101559078176530e-02
2.544031311154598463e+00,3.084466254151992798e-02,2.575786953152258557e-02,3.621191528334211096e-02,1.196693134043179396e-02,9.774730167201879649e-03,1.514036278233749956e-02
2.641878669275929514e+00,3.169326959125401411e-02,2.640129870640503182e-02,3.727738195391232245e-02,1.231444430556782703e-02,1.004793051346882134e-02,1.549512651419798250e-02
2.739726027397260122e+00,3.255352901773873875e-02,2.705261784432136385e-02,3.837221678180492007e-02,1.266626379724541604e-02,1.032256310971185927e-02,1.584648299514603356e-02
2.837573385518590730e+00,3.342303534973579265e-02,2.771104678143965910e-02,3.949580807986464298e-02,1.302206093124496852e-02,1.059824175500874953e-02,1.619557921107784432e-02
2.935420743639921781e+00,3.429965534584782094e-02,2.837631866503845246e-02,4.064753254643223290e-02,1.338150534732078858e-02,1.087460301288556766e-02,1.654348964800248650e-02
3.033268101761252389e+00,3.518153068990321347e-02,2.904851384776728149e-02,4.182675660263210360e-02,1.374428983400276597e-02,1.115131250570307320e-02,1.689117988386886274e-02
3.131115459882582996e+00,3.606707560037931970e-02,2.972789746291007798e-02,4.303283910660181399e-02,1.411014700462604951e-02,1.142806953893545606e-02,1.736424421665696410e-02
3.228962818003913604e+00,3.695497114509781189e-02,3.041477238183489321e-02,4.426513575938980510e-02,1.447885665408952215e-02,1.170461035505315772e-02,1.794066358709602710e-02
3.326810176125244212e+00,3.784415720000733341e-02,3.110935697359962920e-02,4.552300486635040000e-02,1.485024436715174333e-02,1.198071033417193697e-02,1.851263839585199841e-02
3.424657534246575263e+00,3.873382205028503417e-02,3.181169374739558492e-02,4.680581351722545164e-02,1.522417338127017919e-02,1.225618542814631284e-02,1.907786662583295725e-02
3.522504892367905871e+00,3.962338902788877654e-02,3.252159118441976665e-02,4.811294286122373004e-02,1.560053249250115646e-02,1.253089306162830097e-02,1.963450857405463559e-02
3.620352250489236479e+00,4.051249954471262960e-02,3.323859751868085688e-02,4.944379104511207462e-02,1.597922294120384876e-02,1.280473267421471800e-02,2.018112082296244503e-02
3.718199608610567530e+00,4.140099238120178299e-02,3.396200243835148513e-02,5.079777252145398908e-02,1.636014682972751835e-02,1.307764602073951780e-02,2.071657795316620559e-02
3.816046966731898138e+00,4.228887985818022971e-02,3.469086094627617939e-02,5.217431273201524056e-02,1.674319886667131191e-02,1.334961729481935234e-02,2.123999489782919109e-02
3.913894324853228746e+00,4.317632216935783640e-02,3.542403297614184210e-02,5.357283752846703218e-02,1.712826228716974458e-02,1.362067309337242418e-02,2.175065930100292949e-02
4.011741682974559353e+00,4.406360134153985281e-02,3.616023263546133681e-02,5.499275703216370548e-02,1.751520884963257349e-02,1.389088219548982248e-02,2.224797982016531173e-02
4.109589041095889961e+00,4.495109586241096550e-02,3.689808184364855997e-02,5.639227768510340910e-02,1.790390201018186855e-02,1.416035508719818564e-02,2.273145336305372119e-02
